source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,gcns_prob,dist_50
3427592779353072000,15.055958,,,,1.0,0.09345744
3428375219318659328,15.696045,17.996824,14.319905,1.5822185,1.0,0.030859578
3427612497548722432,14.541864,15.66831,13.185423,1.725184,1.0,0.088421665
3427612501845319808,14.572287,15.932705,13.4173765,1.4266412,1.0,0.084409595
3427606145291168256,20.061499,20.828972,18.480595,2.163067,0.932,0.06573987
3400000672495146368,16.215607,17.779308,15.01147,1.4478321,1.0,0.09051117
3400048535611299456,16.404743,16.42197,16.429459,1.1252618,1.0,0.08923927
3400053380333793280,15.744864,17.24315,14.551883,1.4454578,1.0,0.086107485
3400001973867513472,7.41361,7.5224047,7.100636,1.2176398,1.0,0.09717833
3400001978166331264,9.799167,9.804134,9.144434,1.4912257,1.0,0.093955725
3400002149963879040,10.002006,10.370999,9.462487,1.208126,1.0,0.09789818
3400111379573037184,13.534877,14.451729,12.586133,1.3202709,1.0,0.097284265
3399870930124183680,20.396492,21.228775,18.733603,2.2839513,0.454,0.105324075
3399925046709578112,17.918818,,,,0.686,0.09986201
3400175219966490496,15.627197,17.253408,14.390524,1.4770391,1.0,0.0979203
3400111547084348928,12.674765,14.20374,11.467907,1.4566177,1.0,0.022773415
3403216739708909056,18.487642,20.61345,17.050125,1.6844074,1.0,0.08041733
3400208132302904576,19.832464,20.214067,19.368652,1.1555649,0.966,0.11503136
3424222359606934400,17.60217,19.542978,16.278206,1.5463223,1.0,0.100465685
3424159073262226048,14.878472,16.239344,13.73118,1.4180274,1.0,0.08102785
3399840659194478720,10.771194,11.6547985,9.848514,1.3060418,1.0,0.0371343
3399846019313324416,14.184294,15.484625,13.055739,1.4091822,1.0,0.10128585
3423942469471072768,16.244,17.877024,15.012889,1.4693053,1.0,0.09006112
3423047089049184768,16.535686,18.559513,15.19758,1.5560671,1.0,0.077746585
3423047089049185024,16.309496,18.373074,14.957359,1.5708033,1.0,0.07844054
3423062035535540736,14.159285,15.488248,12.917615,1.5341758,1.0,0.09218147
3423131373486795904,14.693994,16.140404,13.515167,1.4380274,1.0,0.09373169
3423940300513002624,18.933235,19.986586,17.287699,2.191009,1.0,0.07837012
3423990470025165312,14.582474,15.974062,13.420509,1.4287269,1.0,0.1000128
3423921235152613376,13.868103,15.403098,12.664026,1.452364,1.0,0.06662459
3423925250952028672,17.615955,19.728489,16.265165,1.564212,1.0,0.08625219
3423978371100972288,11.518296,12.042387,10.845683,1.2296314,1.0,0.09965563
3424193536079703808,8.25653,8.539873,7.800629,1.1992185,1.0,0.10011048
3424189580411284608,19.7083,21.17285,18.15704,1.9449841,0.992,0.07756259
3424076158918863232,20.352657,21.805487,18.85478,1.8627428,0.996,0.11709162
3424090903540087552,13.622643,14.990013,12.468165,1.4248339,1.0,0.06737098
3423249261748599424,11.414713,12.001697,10.692315,1.2411401,1.0,0.08895253
3423250120742043392,14.76151,16.336637,13.541927,1.4643165,1.0,0.05160485
3423242218002188544,14.264607,15.751382,13.073164,1.4456135,1.0,0.06169797
