GaiaEDR3,Gmag,BPmag,WDprob,Dist50,Abs_V,BV_Color
4.90959E+18,17.7421,17.7279,1,0.09483,12.85737125,-0.0142
4.61795E+18,18.7045,18.9876,1,0.0935,13.85044195,0.2831
4.9095E+18,18.341,18.5462,1,0.0969,13.40938111,0.2052
4.63495E+18,18.154,18.576,1,0.05127,14.60468341,0.422
4.00329E+17,19.987,20.4556,0.998,0.09602,15.07519149,0.4686
5.04029E+18,18.6968,18.7404,0.999,0.08097,14.1551793,0.0436
5.037E+18,19.1456,19.6732,0.999,0.09466,14.2647675,0.5276
2.93467E+17,19.0994,19.5493,0.999,0.09074,14.31040613,0.4499
5.04212E+18,15.4207,15.3506,1,0.07444,11.06166818,-0.0701
5.35483E+17,16.9006,17.0347,0.981,0.05358,13.25558645,0.1341
5.01674E+18,20.2286,20.472,0.999,0.10772,15.06711828,0.2434
4.12924E+17,19.2844,19.8332,0.999,0.10438,14.19131354,0.5488
3.23395E+17,19.9244,20.692,0.965,0.07527,15.54129042,0.7676
2.47876E+18,17.9615,18.2209,1,0.07154,13.68875532,0.2594
5.04311E+18,19.3635,19.7505,0.998,0.09871,14.39169424,0.387
4.91603E+18,14.4297,14.3717,0.795,0.04849,11.00143908,-0.058
2.47732E+18,18.6135,18.3516,0.938,0.0934,13.76176562,-0.2619
2.88745E+17,18.1896,18.3272,1,0.08778,13.47262212,0.1376
4.68733E+18,18.9715,19.3675,0.999,0.0784,14.49991969,0.396
2.56023E+18,20.4117,20.9261,0.964,0.11312,15.14400302,0.5144
2.48592E+18,17.4478,17.8003,0.992,0.04557,14.15440486,0.3525
4.91682E+18,20.2967,20.6257,0.963,0.05091,16.76268451,0.329
2.58727E+18,14.3235,14.3126,0.982,0.03764,11.44525193,-0.0109
2.47751E+18,19.4089,19.7472,0.999,0.09678,14.47997191,0.3383
5.01652E+18,18.5258,18.9432,1,0.09703,13.59126984,0.4174
4.12307E+17,20.5577,21.1156,0.956,0.10443,15.46357361,0.5579
5.04191E+18,19.6221,20.0187,0.999,0.10601,14.49536583,0.3966
2.96318E+17,17.3151,17.3987,0.991,0.09449,12.43817076,0.0836
5.00853E+18,19.6208,20.139,0.999,0.09004,14.84862257,0.5182
5.01478E+18,18.8829,19.2306,0.999,0.10147,13.8512117,0.3477
